question,answer,guess,label
enormously,tremendously,appropriately,guess
provisions,stipulations,stipulations,guess
haphazardly,randomly,dangerously,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,completion,wrong
flawed,imperfect,imperfect,correct
urgently,desperately,typically,guess
consumed,eaten,bred,wrong
advent,coming,coming,correct
concisely,succinctly,positively,wrong
salutes,greetings,information,wrong
solitary,alone,restless,wrong
hasten,accelerate,determine,wrong
perseverance,endurance,endurance,correct
fanciful,imaginative,familiar,wrong
showed,demonstrated,repeated,wrong
constantly,continually,accidentally,wrong
issues,subjects,training,wrong
furnish,supply,supply,correct
costly,expensive,popular,wrong
recognized,acknowledged,successful,wrong
spot,location,climate,wrong
make,earn,borrow,wrong
often,frequently,definitely,guess
easygoing,relaxed,frontier,guess
debate,argument,argument,correct
narrow,thin,thin,correct
arranged,planned,studied,wrong
infinite,limitless,limitless,guess
showy,striking,striking,guess
levied,imposed,imposed,correct
deftly,skillfully,skillfully,guess
distribute,circulate,commercialize,guess
discrepancies,differences,weights,guess
prolific,productive,productive,guess
unmatched,unequaled,unrecognized,guess
peculiarly,uniquely,partly,wrong
hue,color,contrast,wrong
hind,rear,curved,guess
highlight,accentuate,alter,guess
hastily,hurriedly,shrewdly,wrong
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,orally,guess
physician,doctor,chemist,wrong
essentially,basically,eagerly,wrong
keen,sharp,useful,wrong
situated,positioned,rotating,guess
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,guess
tasks,jobs,customers,wrong
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,customarily,guess
annals,chronicles,homes,wrong
wildly,furiously,distinctively,guess
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,devised,guess
prospective,potential,particular,guess
generally,broadly,descriptively,guess
sustained,prolonged,refined,wrong
perilous,dangerous,offensive,wrong
tranquillity,peacefulness,peacefulness,guess
dissipate,disperse,disperse,guess
primarily,chiefly,occasionally,guess
colloquial,conversational,recorded,guess
resolved,settled,publicized,guess
feasible,possible,permitted,wrong
expeditiously,rapidly,repeatedly,wrong
percentage,proportion,volume,guess
terminated,ended,ended,correct
uniform,alike,hard,wrong
figure,solve,divide,wrong
sufficient,enough,recent,wrong
fashion,manner,ration,guess
marketed,sold,frozen,guess
bigger,larger,larger,correct
roots,origins,origins,guess
normally,ordinarily,haltingly,guess
question,answer,guess,label
enormously,tremendously,appropriately,guess
provisions,stipulations,stipulations,guess
haphazardly,randomly,dangerously,guess
prominent,conspicuous,ancient,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,typically,guess
consumed,eaten,supplied,wrong
advent,coming,coming,correct
concisely,succinctly,positively,wrong
salutes,greetings,information,wrong
solitary,alone,fearless,wrong
hasten,accelerate,determine,wrong
perseverance,endurance,disturbance,wrong
fanciful,imaginative,familiar,wrong
showed,demonstrated,repeated,wrong
constantly,continually,accidentally,wrong
issues,subjects,training,wrong
furnish,supply,supply,correct
costly,expensive,beautiful,wrong
recognized,acknowledged,successful,wrong
spot,location,climate,wrong
make,earn,borrow,wrong
often,frequently,definitely,guess
easygoing,relaxed,frontier,guess
debate,argument,argument,correct
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,limitless,guess
showy,striking,striking,guess
levied,imposed,imposed,correct
deftly,skillfully,skillfully,guess
distribute,circulate,commercialize,guess
discrepancies,differences,weights,guess
prolific,productive,productive,guess
unmatched,unequaled,unrecognized,guess
peculiarly,uniquely,partly,wrong
hue,color,contrast,wrong
hind,rear,curved,guess
highlight,accentuate,alter,guess
hastily,hurriedly,shrewdly,wrong
temperate,mild,mild,correct
grin,smile,exercise,wrong
verbally,orally,orally,guess
physician,doctor,chemist,wrong
essentially,basically,eagerly,wrong
keen,sharp,sharp,correct
situated,positioned,rotating,guess
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,guess
tasks,jobs,customers,wrong
unlikely,improbable,different,wrong
halfheartedly,apathetically,customarily,guess
annals,chronicles,homes,wrong
wildly,furiously,distinctively,guess
hailed,acclaimed,judged,wrong
command,mastery,love,wrong
concocted,devised,devised,guess
prospective,potential,particular,guess
generally,broadly,descriptively,guess
sustained,prolonged,refined,wrong
perilous,dangerous,offensive,wrong
tranquillity,peacefulness,peacefulness,guess
dissipate,disperse,disperse,guess
primarily,chiefly,occasionally,guess
colloquial,conversational,recorded,guess
resolved,settled,publicized,guess
feasible,possible,permitted,wrong
expeditiously,rapidly,frequently,wrong
percentage,proportion,volume,guess
terminated,ended,postponed,wrong
uniform,alike,hard,wrong
figure,solve,divide,wrong
sufficient,enough,recent,wrong
fashion,manner,ration,guess
marketed,sold,frozen,guess
bigger,larger,better,wrong
roots,origins,origins,guess
normally,ordinarily,haltingly,guess
